0	85.787	89.372	10.628	17.7979	82.2021	1239	1239	621	23587
1	84.2077	80.2469	19.7531	11.8315	88.1685	2168	2168	1134	23074
2	80.7833	89.1386	10.8614	27.5719	72.4281	704	704	267	23941
3	86.0464	91.0819	8.91813	18.9891	81.0109	1462	1462	684	23524
4	81.3421	87.6106	12.3894	24.9263	75.0737	397	397	113	24095
5	78.5539	91.7431	8.25688	34.6353	65.3647	418	418	218	23990
6	72.8662	100	0	54.2675	45.7325	17	17	2	24206
7	86.7321	93.1947	6.80529	19.7306	80.2694	966	966	529	23679
8	82.3694	84.051	15.949	19.3122	80.6878	1677	1677	627	23581
9	63.8682	56.25	43.75	28.5136	71.4864	18	18	16	24192
10	80.2789	82.6613	17.3387	22.1035	77.8965	391	391	248	23960
11	90.2666	93.4579	6.54206	12.9248	87.0752	182	182	107	24101
12	81.0347	94.8718	5.12821	32.8024	67.1976	91	91	39	24169
13	84.7462	88.2175	11.7825	18.7251	81.2749	643	643	331	23877
14	76.5452	87.8049	12.1951	34.7146	65.2854	209	209	123	24085
15	81.2196	87.3016	12.6984	24.8623	75.1377	130	130	63	24145
16	79.1675	84.5896	15.4104	26.2547	73.7453	1047	1047	597	23611
17	86.999	92.735	7.26496	18.737	81.263	307	307	234	23974
18	89.0339	95.2381	4.7619	17.1704	82.8296	73	73	21	24187
19	85.3961	91.875	8.125	21.0828	78.9172	187	187	160	24048
21	79.5551	95.1807	4.81928	36.0705	63.9295	131	131	83	24125
22	85.2994	91.453	8.54701	20.8542	79.1458	979	979	702	23506
23	81.6571	83.8063	16.1937	20.4922	79.5078	964	964	599	23609
24	84.1423	93.8462	6.15385	25.5615	74.4385	982	982	520	23688
25	81.4516	85.1852	14.8148	22.282	77.718	85	85	54	24154
26	80.7364	83.7838	16.2162	22.3109	77.6891	266	266	148	24060
28	80.6539	87.0968	12.9032	25.7889	74.2111	195	195	93	24115
29	79.0903	84	16	25.8194	74.1806	237	237	75	24133
30	80.8544	84.4197	15.5803	22.7109	77.2891	1377	1377	629	23579
31	78.8909	86.2538	13.7462	28.4719	71.5281	1151	1151	662	23546
32	86.5191	86.2763	13.7237	13.2382	86.7618	2488	2488	1093	23115
33	89.7231	96.5812	3.4188	17.135	82.865	201	201	117	24091
34	86.7188	95.1456	4.85437	21.708	78.292	718	718	309	23899
35	83.4987	92.1191	7.88091	25.1216	74.8784	1024	1024	571	23637
36	85.0413	93.9837	6.01626	23.9012	76.0988	838	838	615	23593
37	88.5269	91.8719	8.12808	14.8181	85.1819	772	772	406	23802
38	85.3279	85.1779	14.8221	14.522	85.478	1083	1083	506	23702
39	85.8994	88.0734	11.9266	16.2745	83.7255	189	189	109	24099
40	80.0381	81.4815	18.5185	21.4052	78.5948	37	37	27	24181
41	80.5903	88.8889	11.1111	27.7083	72.2917	924	924	540	23668
42	78.7447	91.5033	8.49673	34.0139	65.9861	470	470	306	23902
43	81.6464	88.535	11.465	25.2422	74.7578	281	281	157	24051
44	79.2587	84.8592	15.1408	26.3417	73.6583	814	814	284	23924
45	80.8764	87.4644	12.5356	25.7115	74.2885	480	480	351	23857
46	71.7508	80.3987	19.6013	36.8971	63.1029	695	695	301	23907
47	84.9155	89.1269	10.8731	19.2958	80.7042	1100	1100	607	23601
48	88.1803	82.9282	17.0718	6.56755	93.4324	3122	3122	1810	22398
49	92.5091	97.2125	2.78746	12.1943	87.8057	908	908	574	23634
50	86.2917	93.7716	6.22837	21.1882	78.8118	642	642	289	23919
51	82.9638	88.0412	11.9588	22.1136	77.8864	979	979	485	23723
52	75.091	85.4545	14.5455	35.2726	64.7274	235	235	110	24098
53	83.3072	95.7895	4.21053	29.1751	70.8249	167	167	95	24113
54	75.8868	70.2703	29.7297	18.4967	81.5033	121	121	74	24134
55	85.9645	88.6179	11.3821	16.6889	83.3111	696	696	246	23962
56	74.2335	82.4074	17.5926	33.9405	66.0595	418	418	216	23992
57	86.869	90.137	9.86301	16.3989	83.6011	683	683	365	23843
58	91.28	95.3333	4.66667	12.7733	87.2267	315	315	150	24058
59	87.5978	93.3747	6.62526	18.1791	81.8209	1241	1241	483	23725
60	83.9197	95.4545	4.54545	27.6151	72.3849	32	32	22	24186
