0	1239	0
1	2168	0
2	704	0
3	1462	0
4	397	0
5	418	0
6	17	0
7	966	0
8	1677	0
9	18	0
10	391	0
11	182	0
12	91	0
13	643	0
14	209	0
15	130	0
16	1047	0
17	307	0
18	73	0
19	187	0
20	0	0
21	131	0
22	979	0
23	964	0
24	982	0
25	85	0
26	266	0
27	7068	0
28	195	0
29	237	0
30	1377	0
31	1151	0
32	2488	0
33	201	0
34	718	0
35	1024	0
36	838	0
37	772	0
38	1083	0
39	189	0
40	37	0
41	924	0
42	470	0
43	281	0
44	814	0
45	480	0
46	695	0
47	1100	0
48	3122	0
49	908	0
50	642	0
51	979	0
52	235	0
53	167	0
54	121	0
55	696	0
56	418	0
57	683	0
58	315	0
59	0	1241
60	32	0
